# Введённые в эксплуатацию дома УР, ввод 2024-01..2026-07 (ЕИСЖС objStatus=2, собрано 22.07.2026 через Chrome)
objId,ЖК,Адрес,Застройщик,Группа,Квартир,Жил.площадь,Этажей,Дата ввода,Цена ₽/м² (посл.)
61728,Чекерил Village,"г. Ижевск, Улица Загорская",СЗ АЭРОПЛАН СИТИ,Аэроплан,1,101.8,2,2025-03-26,
48176,"""Новый восход на Воткинском шоссе""","г. Ижевск, ш Воткинское",УК ИНКОМ,Острова,184,8939.7,25,2025-03-28,100078
51041,ЖК Новая Клубная,"г. Ижевск, Улица Зои Космодемьянской, ул. Клубная",СЗ ДОМ-ИНВЕСТ,UDS,115,4646.9,18,2025-03-31,98676
49753,Санвилл.Жилой дом 4,Село Первомайский,КОМОССТРОЙ БОРН СЗ,КОМОССТРОЙ,40,2491.2,6,2025-03-31,113635
49752,Санвилл. Жилой дом 3,Село Первомайский,КОМОССТРОЙ БОРН СЗ,КОМОССТРОЙ,256,10858.8,6,2025-03-31,114513
49724,Город оружейников.Жилой дом 19,Село Первомайский,КС СЕЗАНН СЗ,КОМОССТРОЙ,218,9193.2,11,2025-03-31,121602
49722,Город оружейников.Жилой дом 17,Село Первомайский,КС СЕЗАНН СЗ,КОМОССТРОЙ,287,11970.2,11,2025-03-31,108300
48153,"ЖК""ТЕТРИС""","г. Ижевск, Улица Ленинградская",СЗ РЕСУРСЛЕНСТРОЙ,Ресурс,179,7033.7,18,2025-03-31,116121
50069,ЖК МАНДАРИН,Село Октябрьский,СЗ ЭТАЖИ,1000 Этажей,233,10377.88,6,2025-04-03,88368
53356,Жиvoй комплекс Настроение ,"г. Ижевск, Улица Васнецова",СЗ 40 ЛЕТ ПОБЕДЫ-9,АССО-Строй,213,8842.7,18,2025-04-04,107136
48476,,"г. Сарапул, Улица Электрозаводская",СЗ ОЗЕР,,60,4285.37,11,2025-04-22,83643
59090,"Торговый центр ""Пятый Элемент""",Село Первомайский,СПЕЦЗАСТРОЙЩИК ЖЕЛЕЗНО,Железно,0,0,3,2025-04-23,
59052,"Торговый центр ""Пятый Элемент""","Село Первомайский, ул",СПЕЦЗАСТРОЙЩИК ЖЕЛЕЗНО,Железно,0,0,3,2025-04-23,123958
59050,"Торговый центр ""Пятый элемент""","Село Первомайский, ул",СПЕЦЗАСТРОЙЩИК ЖЕЛЕЗНО,Железно,0,0,2,2025-04-23,149588
58263,"Торговый центр ""Пятый Элемент""","Село Первомайский, ул",СПЕЦЗАСТРОЙЩИК ЖЕЛЕЗНО,Железно,0,0,2,2025-04-23,249300
56427,"Торговый центр ""Пятый элемент""","Село Первомайский, ул",СПЕЦЗАСТРОЙЩИК ЖЕЛЕЗНО,Железно,0,0,2,2025-04-23,169812
49313,ЖК Притяжение,"г. Ижевск, Улица Выборная",СЗ СТРОЙ-ИНВЕСТ,Аэроплан,186,8931.89,18,2025-05-12,107045
42118,ЖК Речной парк-дом 1,"г. Ижевск, Улица Клубная",СЗ КВАРТАЛ,UDS,349,15177.85,26,2025-05-23,122421
50052,"ЖК ""Времена года"" Дом 1 ""Лето красное""",г. Ижевск,СЗ ХОЛМЫ-2,Зардон-групп,244,7261.08,19,2025-06-17,103032
54361,ЖК НА САДОВОЙ,"г. Можга, Улица Наговицына",СЗ СТРОИТЕЛЬ,,144,8081.5,10,2025-06-24,73758
51760,"ЖК ""Трилогия""","г. Ижевск, Улица Шишкина",СЗ ТАЛАН-РЕГИОН-39,Талан,130,8633.36,18,2025-06-26,97919
